iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,Gender Equality,Children's Rights,Cultural and Linguistic Diversity,Fairness and Non-discrimination,Transparency and Explainability,Human Oversight and Determination,Environmental Impact,Labour Protections,Reskilling and upskilling initiatives,AI Literacy,Safety and Security,Access to Redress and Remedy,Impact Assessments,AI-facilitated Misinformation and Violence,Public Sector Skills Development,Public Disclosure of Government Algorithmic Systems,Public Procurement,Civil Society Engagement in Inclusion and Diversity,Civil Society Engagement in Ethics and Sustainability,Civil Society Engagement in Labour and Skills,Civil Society Engagement in Trust and Safety,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Egalitarian Democracy,Device affordability,Gender gap in mobile internet,Low-Carbon Energy Share,Rule of Law,Skills and Literacy,Labour Rights Compliance,Cybersecurity,Data Protection and Privacy,Data Sharing and Access,Consumer Protection,Global Peace,Civil Society Accountability,Public Service Delivery,Access to Public Information,URAI Penalty
AFG,Afghanistan,Asia and Oceania,South West Asia,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2201.72,6.02,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,21.43,86.87,6.5,20.53,7.64,14.34,0,0,55.3,9.43,0,25.58,8.89,1
AGO,Angola,Africa,South Africa,Developing,Sub-Saharan Africa ,Lower middle income,10118.61,19.41,19.41,0,0,0,12.27,0,18.64,0,0,18.18,9.09,10.23,8.86,9.55,9.72,49.24,0,0,7.69,0,10.26,0,30,13.65,38.69,31.29,73.7,24.93,38.4,27.82,36.62,58.4,87.5,70.97,66.56,53.56,75.9,13.45,1
ALB,Albania,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,26701.67,32.29,32.29,0,66.67,11.36,13.64,86.36,12.88,10.61,0,29.55,31.06,0,0,0,9.09,28.98,0,0,15.38,15.38,20.51,0,2.5,40.46,57.42,100,100,50.23,77.07,26.72,85.83,66.8,87.5,94.92,74.61,67.74,93.94,40.1,1
ARE,United Arab Emirates,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,79228.74,38.67,40.28,82.58,59.09,65.91,40.91,30,48.86,0,0,82.95,9.09,36.36,30.34,50,0,64.77,0,0,0,0,0,8.79,0,13.04,100,100,31.73,65.04,94.4,23.9,100,50,87.5,95.13,74.61,24.09,97.48,20.04,0.96
ARG,Argentina,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,30431.19,34.31,34.31,37.88,9.09,0,28.03,37.88,37.12,0,12.12,9.09,25.38,40.34,37.88,38.64,0,9.09,38.64,0,7.69,46.15,10.26,21.98,47.5,58.45,37.47,100,41.24,47.03,87.47,53.77,49.1,50.2,87.5,94.49,76.63,66.5,90.41,57.55,1
ARM,Armenia,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,22823.18,22.51,22.51,0,10.61,0,0,0,9.09,0,0,0,9.09,0,9.09,9.09,61.36,0,0,0,7.69,7.69,10.26,0,0,57.37,47.98,100,61.02,49.65,76.27,42.62,51.66,66.8,37.5,92.16,70.88,74.56,80.72,30.97,1
ATG,Antigua and Barbuda,Caribbean,,Developing,Latin America & Caribbean ,High income,33386.19,17.65,17.65,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,78.8,63.73,98.86,8.11,67.56,75.47,90.48,14.11,58.4,0,54.66,65.04,85.09,14.49,32.03,1
AUS,Australia,Asia and Oceania,Oceania (Pacific),Developed,East Asia & Pacific,High income,72111.18,56.4,58.75,57.58,54.17,63.64,50,38.64,49.24,27.27,18.18,90.91,32.77,50,69.7,47.73,65.91,38.24,39.2,38.64,7.69,53.85,65.64,70.33,40,85.75,100,97.83,35.08,88.47,96.53,69.41,96.06,83.4,43.75,96.82,88.73,85.15,99.22,87.99,0.96
AUT,Austria,Europe,Western Europe,Developed,Europe & Central Asia,High income,73911.44,58.16,58.16,63.41,71.21,9.09,64.77,64.77,64.77,0,64.09,71.59,74.24,65.45,64.77,73.18,79.55,9.09,0,9.09,7.69,0,20.51,0,72.5,85.39,100,95.35,86.22,93.46,94.67,86.06,88.6,100,87.5,86.02,98.44,87.33,97.54,65.1,1
AZE,Azerbaijan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,25089,30.59,30.59,0,0,82.58,0,65.15,0,0,0,73.48,60.98,9.09,0,0,0,75,0,0,7.69,0,20.51,0,40,13.04,50.39,86.4,11.75,41.4,72,42.62,93.62,58.4,87.5,70.97,62.88,11.87,97.37,30.97,1
