interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,cse_counts,cse1_name,cse1_link,cse1_drive,cse1_type,cse1_contributions,cse1_justif,cse2_name,cse2_link,cse2_drive,cse2_type,cse2_contributions,cse2_justif,cse3_name,cse3_link,cse3_drive,cse3_type,cse3_contributions,cse3_justif,cse4_name,cse4_link,cse4_drive,cse4_type,cse4_contributions,cse4_justif,cse5_name,cse5_link,cse5_drive,cse5_type,cse5_contributions,cse5_justif,cse6_name,cse6_link,cse6_drive,cse6_type,cse6_contributions,cse6_justif
49-52-26-16,Afghanistan,AFG,Asia and Oceania,South West Asia,Developing,Low income,"2201,72",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39-14-26-32,Afghanistan,AFG,Asia and Oceania,South West Asia,Developing,Low income,"2201,72",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-15-04-05,Afghanistan,AFG,Asia and Oceania,South West Asia,Developing,Low income,"2201,72",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-37-35-64,Afghanistan,AFG,Asia and Oceania,South West Asia,Developing,Low income,"2201,72",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-09-03-76,Albania,ALB,Europe,Balkans (South East Europe),Developed,Upper middle income,"26701,67",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,1,“Advancing Digital Rights in Albania – ADRA” project,https://web.archive.org/save/https://scidevcenter.org/2025/09/27/ai-and-digital-rights-when-lack-of-transparency-and-accountability-hinders-rule-of-law/,https://drive.google.com/file/d/1bc2wmkGVPrEKeLpamXD2ldupPYlb6qN0/view?usp=sharing,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Transparency and Explainability;  Human Oversight and Determination,Under the ADRA – Advancing Digital Rights in Albania project the Center Science and Innovation for Development (SCiDEV) an independent CSO organized a public event examining the EU AI Act’s implications for Albania (p.2). As the leading civil society actor SCiDEV raised concerns about limited transparency (p.3) lack of explainability and insufficient accountability in AI uses such as biometric surveillance and public procurement. Discussions stressed that AI remains a human-directed tool (p.3) underscoring the need for meaningful human oversight institutional review capacity and contextualized alignment with EU law to safeguard rule-of-law principles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-25-41-12,Albania,ALB,Europe,Balkans (South East Europe),Developed,Upper middle income,"26701,67",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,1,Open public consultation on Albania’s draft National AI Strategy 2025–2030,https://web.archive.org/web/20251213205329/https://scidevcenter.org/2025/09/17/digital-rights-e-bulletin-summer-2025/,https://drive.google.com/file/d/1sn5anSbm0j_XI1lIzb-vhA88Js5iHqe4/view?usp=sharing,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Cultural and Linguistic Diversity;  Children’s Rights,In August–September 2025 SCiDEV an Albanian civil society organization focused on digital rights monitored and reported on the government’s public consultation for the draft National AI Strategy 2025–2030. Its Digital Rights e-bulletin (Summer 2025) notes that on 14 August 2025 Albania opened the consultation and outlines priority domains including education and cultural heritage and tourism linking AI policy choices to Children’s Rights in schooling and to Cultural and Linguistic Diversity through heritage preservation and access.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-03-07-33,Albania,ALB,Europe,Balkans (South East Europe),Developed,Upper middle income,"26701,67",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,QuLearnLabs and AI Albania forge new partnership to tackle Europe’s deep tech talent gap,https://www.eitdeeptechtalent.eu/news-and-events/news-archive/qulearnlabs-and-ai-albania-forge-new-partnership-to-tackle-europes-deep-tech-talent-gap/?utm_source=chatgpt.com,https://drive.google.com/file/d/1xpX_9p2xdT7SC95BcDO04CRFW6T1RiXO/view?usp=sharing,Capacity building and collaboration: training courses workshops networks.,Reskilling and upskilling initiatives;  AI Literacy,The initiative which is a collaboration including QuLearnLabs and the CSO Albanian Centre for Artificial Intelligence (AI Albania) strengthens workforce preparedness by delivering structured training and collaborative programmes focused on AI and deep-tech skills. Through partnerships with European talent initiatives it supports reskilling and upskilling pathways for students and professionals in Albania helping them acquire competencies needed for AI-driven labour markets. At the same time its training activities build AI literacy enabling participants to understand critically assess and responsibly use AI systems at the intersection of AI and Quantum Computing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-01-11-15,Albania,ALB,Europe,Balkans (South East Europe),Developed,Upper middle income,"26701,67",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-83-98-01,Algeria,DZA,Africa,North Africa,Developing,Upper middle income,"17620,74",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-54-61,Algeria,DZA,Africa,North Africa,Developing,Upper middle income,"17620,74",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
