interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,gmc_status,gmc_title,gmc_link,gmc_drive,gmc_type,gmc_approval,gmc_enforceability,gmc_reach,gmc_defence_and_security,gmc_defence_and_security_justif,gmc_body,gmc_body_name,gmc_plan,gmc_budget,gmc_monitoring,gmc_element1,gmc_element2,gmc_element3,gmc_consultation,gmc_consult_counts,gmc_consult1_name,gmc_consult1_link,gmc_consult1_drive,gmc_consult1_type,gmc_consult1_justif,gmc_consult2_name,gmc_consult2_link,gmc_consult2_drive,gmc_consult2_type,gmc_consult2_justif,gmc_consult3_name,gmc_consult3_link,gmc_consult3_drive,gmc_consult3_type,gmc_consult3_justif,gmc_particip_provis_counts,gmc_particip_provis1_type,gmc_particip_provis1_justif,gmc_particip_provis2_type,gmc_particip_provis2_justif,gmc_particip_provis3_type,gmc_particip_provis3_justif,gmc_particip_provis4_type,gmc_particip_provis4_justif,gmc_particip_mech_counts,gmc_particip_mech1_name,gmc_particip_mech1_link,gmc_particip_mech1_drive,gmc_particip_mech1_type,gmc_particip_mech1_justif,gmc_particip_mech2_name,gmc_particip_mech2_link,gmc_particip_mech2_drive,gmc_particip_mech2_type,gmc_particip_mech2_justif,gmc_particip_mech3_name,gmc_particip_mech3_link,gmc_particip_mech3_drive,gmc_particip_mech3_type,gmc_particip_mech3_justif,gmc_particip_mech4_name,gmc_particip_mech4_link,gmc_particip_mech4_drive,gmc_particip_mech4_type,gmc_particip_mech4_justif
18-16-15-49,Afghanistan,AFG,Asia and Oceania,South West Asia,Developing,Low income,"2201,72",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
93-26-31-83,Albania,ALB,Europe,Balkans (South East Europe),Developed,Upper middle income,"26701,67",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Draft,National AI Strategy 2025–2030 (draft) (Albania),https://www.konsultimipublik.gov.al/Konsultime/Detaje/864,https://drive.google.com/file/d/10viJ3cUjWF5uMtUuuZuHVVawhDkBWbl5/view?usp=sharing,Draft framework,2025-08-14,Non-Binding,Both actors,No it isn’t,,n/a,n/a,n/a,n/a,n/a,Partially,No,Partially,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
30-92-89-56,Algeria,DZA,Africa,North Africa,Developing,Upper middle income,"17620,74",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
47-92-00-06,Angola,AGO,Africa,South Africa,Developing,Lower middle income,"10118,61",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Draft,Draft Law on Artificial Intelligence (Angola),https://web.archive.org/web/20251119222036/https://consultapublica.minttics.gov.ao/storage/docs/Proposta%20de%20Lei%20Sobre%20a%20Intelig%C3%AAncia%20Artificial.pdf,https://drive.google.com/file/d/1NX3X4QtVvEaoeNKbLYpnMlfjJILCe9g2/view?usp=drive_link,Draft framework,2025-09-01,Binding,Both actors,Yes it is,The Draft Law on Artificial Intelligence explicitly excludes military AI from its scope stating that development and use of AI for military purposes are regulated under a separate legal framework (Article 4 point 2).,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes,1,Public consultation on the Draft Law on Artificial Intelligence,https://web.archive.org/web/20251119225402/https://consultapublica.minttics.gov.ao/,,Open public consultation (e.g. online comments public hearing),The public consultation platform of the Ministry of Telecommunications Information Technologies and Social Communication enabled CSO participation by providing an official channel for submitting feedback on the AI policy and other sectoral draft  policies. The consultation process is described as a mechanism for dialogue between public administration and society allowing communities and organised groups to contribute information and opinions to improve the documents under review. According to the consultation guidance the population including CSOs may comment on issues of collective interest and support government decision-making by expanding the discussion (Public Consultation Portal - “Consulta Pública” section).,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
67-10-88-05,Antigua and Barbuda,ATG,Caribbean,,Developing,High income,"33386,19",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
26-47-72-94,Argentina,ARG,South and Central America,South America,Developing,Upper middle income,"30431,19",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Plan of Artificial Intelligence,https://web.archive.org/web/20260310105551/https://oecd-opsi.org/wp-content/uploads/2021/02/Argentina-National-AI-Strategy.pdf,https://drive.google.com/file/d/1ZLvfF4iImxwDVtgkwhB1ZSLb9CYL2i3k/view?usp=sharing,Strategy,2019-12-01,Non-Binding,Both actors,No it isn’t,,Yes,Mesa Ejecutiva Agenda Digital Comité Multisectorial de IA and Comité Científico de IA,Yes,No,Yes,No,Partially,No,Yes,1,National Plan of Artificial intelligence,https://web.archive.org/web/20260310105551/https://oecd-opsi.org/wp-content/uploads/2021/02/Argentina-National-AI-Strategy.pdf,https://drive.google.com/file/d/1ZLvfF4iImxwDVtgkwhB1ZSLb9CYL2i3k/view?usp=sharinghttps://drive.google.com/file/d/1ZLvfF4iImxwDVtgkwhB1ZSLb9CYL2i3k/view?usp=sharing,Participation in multi-stakeholder working groups or advisory committees,Pages 50 and 234 of the plan document the working tables conducted with CSOs and other key actors to develop the strategy. Representatives from research centers universities private companies trade unions business chambers international organizations and third-party agencies participated in this multi-stakeholder process to define the National Artificial Intelligence Plan. The document does not provide the specific names of the CSO stakeholders involved,,,,,,,,,,,1,AI observatory or ethics committee with CSO representation,The National Observatory on Artificial Intelligence is established as a body for permanent dialogue and collaboration among the public academic private and civil society sectors. Its role includes providing assistance and preparing recommendations for AI adoption within both the government and the private sector (P.193),,,,,,,0,,,,,,,,,,,,,,,,,,,,
38-92-99-05,Armenia,ARM,Asia and Oceania,NorthWest Asia,Developing,Upper middle income,"22823,18",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
45-05-48-51,Australia,AUS,Asia and Oceania,Oceania (Pacific),Developed,High income,"72111,18",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Policy for the responsible use of AI in government (Australia),https://web.archive.org/web/20260306094821/https://www.digital.gov.au/policy/ai/policy2,https://drive.google.com/file/d/1-m6QhmLLREst4fOcuDoILVtqRkp1Qn3g/view?usp=drive_link,Policy,2024-09-01,Binding,State only,Yes it is,The policy explicitly excludes defence and national intelligence activities from its scope. Under the “National security carveouts” section it states that the policy “does not apply to the use of AI in the defence portfolio” and does not apply to the “national intelligence community (NIC)” including agencies such as ASIO ASD ASIS and others (p.8). It further notes that Defence and NIC entities may only voluntarily adopt elements of the policy where appropriate.,Yes,Digital Transformation Agency,Yes,No,Yes,No,No,No,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,The establishment of a new Artificial Intelligence Expert Group,https://web.archive.org/web/20260207165632/https://www.minister.industry.gov.au/ministers/husic/media-releases/new-artificial-intelligence-expert-group,,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,The Artificial Intelligence Expert Group provides advice to the Department of Industry Science and Resources on AI governance issues including transparency testing accountability andguardrails for high-risk AI systems. The group includes a representative from the Gradient Institute an independent non-profit research organisation focused on ethical and responsible AI. Through this membership the mechanism enables civil society participation by allowing a CSO-affiliated expert to contribute to government discussions and provide input into the development of Australia’s AI governance approaches.,,,,,,,,,,,,,,,
66-32-25-14,Austria,AUT,Europe,Western Europe,Developed,High income,"73911,44",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Artificial Intelligence Strategy of the Austrian Federal Government: Artificial Intelligence Mission Austria 2030 (AIM AT 2020),https://web.archive.org/save/https://digital-skills-jobs.europa.eu/sites/default/files/2023-10/Artificial%20Intelligence%20Mission%20Austria%202030_AIM_AT_2030.pdf,https://drive.google.com/file/d/1IxiktXfWLSXZ6Lb-pF0Y0N8_dzPDWtId/view?usp=drive_link,Strategy,2021-01-01,Non-Binding,Both actors,No it isn’t,,Yes,An interministerial working group chaired by the BMK and BMDW,No,No,Yes,Partially,No,No,Yes,1,Artificial Intelligence Mission Austria 2030 (AIM AT 2030),https://web.archive.org/save/https://digital-skills-jobs.europa.eu/sites/default/files/2023-10/Artificial%20Intelligence%20Mission%20Austria%202030_AIM_AT_2030.pdf,https://drive.google.com/file/d/1IxiktXfWLSXZ6Lb-pF0Y0N8_dzPDWtId/view?usp=drive_link,Participation in multi-stakeholder working groups or advisory committees,The strategy enabled CSO participation by involving civil society actors in its development and implementation framework. The document states that more than 160 experts from diverse disciplines including civil society organisations were involved in drafting the strategy and that it is a participatory interdisciplinary process open to the involvement of civil society and citizens (pg. 3-4). This shows CSO involvement in shaping the AI policy.,,,,,,,,,,,0,,,,,,,,,1,AI Stakeholder Forum,https://web.archive.org/save/https://www.digitalaustria.gv.at/themen/kuenstliche-intelligenz/ki-organisation.html,,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,The AI Stakeholder Forum enables CSO participation and oversight in Austria’s AI governance by serving as a formal multi-stakeholder body where civil society organisations sit alongside industry academia and social partners. Through regular consultations feedback rounds and structured dialogue with the federal government CSOs can review comment on and influence the implementation of national AI strategies and Austria’s approach to the EU AI Act. This gives civil society a direct channel to shape policy decisions raise risks or societal concerns and monitor how AI-related measures are carried out.,,,,,,,,,,,,,,,
42-86-67-48,Azerbaijan,AZE,Asia and Oceania,NorthWest Asia,Developing,Upper middle income,"25089,00",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Artificial Intelligence Strategy of the Republic of Azerbaijan for 2025–2028,https://web.archive.org/web/20251210071707/https://e-qanun.az/framework/59218,https://drive.google.com/file/d/11NE1ReXXLww_-ABReESV1EwlF756fnC2/view?usp=drive_link,Strategy,2025-03-19,Non-Binding,Both actors,No it isn’t,,Yes,Cabinet of Ministers; Ministry of Digital Development and Transport; Ministry of Economy; Ministry of Labor and Social Protection of the Population; Ministry of Finance; Ministry of Science and Education; State Security Service; State Service for Special Communications and Information Security; State Agency for Antimonopoly and Consumer Market Supervision under the President; State Agency for Public Service and Social Innovations,Yes,Yes,Yes,No,No,No,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,Public Council under the Ministry of Digital Development and Transport,https://web.archive.org/web/20251116160938/https://idda.az/en/news/a-meeting-was-held-between-the-innovation-and-digital-development-agency-and-the-members-of-the-public-council,,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,Public Council is a body under the Ministry of Digital Development and Transport consisting of the representatives of several CSOs. Ministry of Digital Development and Transport is the main authority implementing Azerbaijan's digitalization procedure including the AI strategy and as such Public Council also being involved in AI-related policy-making processes. In the official meeting with the Public Council the chairman of the Council addressed issues such as systematic implementation of artificial intelligence in public administration. It was emphasized that an open dialogue environment can contribute to the country’s digital development strategy and the importance of continuous cooperation with civil society was highlighted.,,,,,,,,,,,,,,,
