ranking,iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,urai_penalty,DIMENSIONS SCORES,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,PILLAR SCORES,__EMPTY_4,__EMPTY_5
,,,,,,,,,,,,Inclusion and Diversity (0-100),Ethics and Sustainability (0-100),Labour and Skills (0-100),Trust and Safety (0-100),AI Use in Public Service (0-100),AI Policy (0-100),CSO Engagement (0-100),Enabling Conditions (0-100)
1,NOR,Norway,Europe,North Europe,Developed,Europe & Central Asia,High income,102037.53,74.66,74.66,1,76.1,75.08,75.15,75.75,71.2,71.2,36.94,94.14
2,ITA,Italy,Europe,Western Europe,Developed,Europe & Central Asia,High income,62014.27,72.71,72.71,1,68.37,73.59,71.71,79.49,70.4,73.9,51.74,77.33
3,IRL,Ireland,Europe,North Europe,Developed,Europe & Central Asia,High income,133437.47,71.39,71.39,1,70.83,67.77,76.45,76.6,65.28,66.49,45.64,89.76
4,FRA,France,Europe,Western Europe,Developed,Europe & Central Asia,High income,62556.92,70.32,75.61,0.93,74.74,75.9,74.76,74.55,78.12,72.82,57.65,87.19
5,NLD,Netherlands,Europe,Western Europe,Developed,Europe & Central Asia,High income,86173.63,69.58,77.31,0.9,81.83,80.68,72.25,83.67,68.14,76.63,57.89,85.15
6,DEU,Germany,Europe,Western Europe,Developed,Europe & Central Asia,High income,73551.93,68.98,74.17,0.93,82.98,72.03,77.56,76.86,61.43,72.65,46.09,86.58
7,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,North Europe,Developed,Europe & Central Asia,High income,62009.49,67.39,72.47,0.93,78.44,74.77,78.26,66.01,64.86,70.93,54.44,81.56
8,SVN,Slovenia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,High income,57186.37,66.13,66.13,1,67.79,65.57,67.93,73.48,55.88,63.62,36.1,81.15
9,EST,Estonia,Europe,North Europe,Developed,Europe & Central Asia,High income,49968.71,64.89,64.89,1,76.51,56.47,58.73,72.3,60.44,62.35,12.53,87.42
10,LVA,Latvia,Europe,North Europe,Developed,Europe & Central Asia,High income,43394.27,64.82,64.82,1,71.7,56.93,72.21,74.26,49,63.83,12.52,84.24
11,BRA,Brazil,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,22338.48,63.3,68.07,0.93,72.01,63.42,76.27,61.49,67.14,68.56,52.21,72.36
12,ESP,Spain,Europe,Western Europe,Developed,Europe & Central Asia,High income,57965.29,63.27,65.91,0.96,74.15,67.99,75.41,73.8,38.2,62.98,30.39,83.6
13,GRC,Greece,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,High income,44327.21,62.36,67.05,0.93,68.89,61.84,66.17,71.39,66.97,67.46,47.89,72.63
14,CHL,Chile,South and Central America,South America,Developing,Latin America & Caribbean ,High income,36181.16,61.91,64.49,0.96,71.92,56.56,74.03,59.65,60.29,64.91,23.48,77.32
15,BGR,Bulgaria,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,High income,41969.45,61.61,61.61,1,66.01,59.09,66.98,77.71,38.28,59.56,40.79,72.66
16,BEL,Belgium,Europe,Western Europe,Developed,Europe & Central Asia,High income,73514.48,61.09,61.09,1,55.54,69.65,55.93,73.74,50.6,52.64,28.72,88.79
17,POL,Poland,Europe,Central Europe,Developed,Europe & Central Asia,High income,51262.51,60.19,60.19,1,67.31,46.77,63.93,73.5,49.46,57.72,31.21,74.8
18,PRT,Portugal,Europe,Western Europe,Developed,Europe & Central Asia,High income,51679.89,60,62.5,0.96,72.24,61.87,66.76,73.78,37.86,57.44,31.44,82.98
19,AUT,Austria,Europe,Western Europe,Developed,Europe & Central Asia,High income,73911.44,58.16,58.16,1,57.59,56.1,71.15,70.08,35.88,48.65,20.14,89.84
20,LTU,Lithuania,Europe,North Europe,Developed,Europe & Central Asia,High income,55285.9,57.69,57.69,1,67.83,56.08,60.91,75.36,28.28,51.06,12.96,85.86
21,URY,Uruguay,South and Central America,South America,Developing,Latin America & Caribbean ,High income,36417.87,56.99,59.36,0.96,50.6,61.66,49.95,64.32,70.29,53.58,20.43,83.9
22,CHE,Switzerland,Europe,Western Europe,Developed,Europe & Central Asia,High income,96497.69,56.75,56.75,1,35.93,64.81,47.48,65.68,69.83,41.11,44.27,92.18
23,AUS,Australia,Asia and Oceania,Oceania (Pacific),Developed,East Asia & Pacific,High income,72111.18,56.4,58.75,0.96,64.2,48.69,59.83,66.56,54.45,48.81,47.5,82.36
24,JPN,Japan,Asia and Oceania,East Asia,Developed,East Asia & Pacific,High income,52039.17,55.86,58.19,0.96,61.95,56.13,51.93,63.5,57.44,49.02,47.62,80.06
25,CAN,Canada,Northern America,,Developed,North America,High income,64610.38,55.17,57.47,0.96,58.92,58.36,46.13,53.1,70.81,46.46,35.9,86.66
26,COL,Colombia,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,22349.44,54.74,54.74,1,53.84,46.33,64.04,54.9,54.6,55.11,35.16,60.54
27,USA,United States of America,Northern America,,Developed,North America,High income,85809.9,53.63,57.67,0.93,56.26,46.09,63.4,59.83,62.77,51.61,48.05,72.99
28,HUN,Hungary,Europe,Central Europe,Developed,Europe & Central Asia,High income,48552.47,52.66,52.66,1,62.92,49.62,50.88,69.1,30.81,52.05,3.96,70.14
29,CRI,Costa Rica,South and Central America,Central America,Developing,Latin America & Caribbean ,High income,31106.76,52.3,52.3,1,62.82,54.92,51.96,39,52.77,47.92,10.09,75.11
30,ROU,Romania,Europe,Central Europe,Developed,Europe & Central Asia,High income,49076.54,51.69,51.69,1,48.27,50.07,58.12,68.03,33.96,48.6,13.84,70.49
31,KGZ,Kyrgyz Republic,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,8012.45,51.64,53.79,0.96,63.24,66.61,41.97,61.53,35.62,54.75,34.15,58.43
32,SVK,Slovakia,Europe,Central Europe,Developed,Europe & Central Asia,High income,48132.36,50.25,50.25,1,51.65,52.78,49.52,69.96,27.37,42.1,17,77.65
33,SRB,Serbia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,32832.18,50.13,50.13,1,54.38,47.14,57.76,41.6,49.77,50.2,11.35,62.91
34,PER,Peru,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,17802.42,50.06,50.06,1,44.2,57.25,55.66,51.99,41.19,48.48,22.03,62.56
35,HRV,Croatia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,High income,49550.79,48.12,48.12,1,52.22,51.62,45.14,69.42,22.19,41.69,5.71,75.1
36,DOM,Dominican Republic,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,27541.66,47.92,47.92,1,51.44,40.96,48.05,47.15,51.97,48.56,14.21,57.85
37,KOR,South Korea,Asia and Oceania,East Asia,Developed,East Asia & Pacific,High income,61051.35,47.69,49.68,0.96,35.83,51.86,54.49,63.52,42.69,42.45,12.67,76.47
38,NZL,New Zealand,Asia and Oceania,Oceania (Pacific),Developed,East Asia & Pacific,High income,55551.14,46.12,46.12,1,40.78,54.73,50.12,38.82,46.16,30.45,25.05,84.48
